"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-04-20","Baden-Württemberg",28253,370,255.0,982
"2020-04-20","Bavaria",37849,442,289.0,1
"2020-04-20","Berlin",5196,37,139.0,94
"2020-04-20","Brandenburg",2238,17,89.0,66
"2020-04-20","Bremen",604,19,88.0,25
"2020-04-20","Hamburg",4185,18,227.0,91
"2020-04-20","Hesse",7177,69,115.0,240
"2020-04-20","Mecklenburg-Western Pomerania",653,2,41.0,15
"2020-04-20","Lower Saxony",8900,103,111.0,291
"2020-04-20","North Rhine-Westphalia",28971,500,162.0,857
"2020-04-20","Rhineland-Palatinate",5523,91,135.0,107
"2020-04-20","Saarland",2314,11,234.0,91
"2020-04-20","Saxony",4229,39,104.0,109
"2020-04-20","Saxony-Anhalt",1369,19,62.0,30
"2020-04-20","Schleswig-Holstein",2426,9,84.0,67
"2020-04-20","Thuringia",1785,29,83.0,53
