"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-04-05","Baden-Württemberg",18614,"1,600",1600,168.0,367
"2020-04-05","Bavaria",23846,"1,938",1938,182.0,396
"2020-04-05","Berlin",3613,"142",142,96.0,24
"2020-04-05","Brandenburg",1305,"94",94,52.0,17
"2020-04-05","Bremen",394,"40",40,58.0,6
"2020-04-05","Hamburg",2945,"248",248,160.0,19
"2020-04-05","Hesse",4575,"296",296,73.0,56
"2020-04-05","Mecklenburg-Western Pomerania",523,"22",22,32.0,5
"2020-04-05","Lower Saxony",5712,"141",141,72.0,89
"2020-04-05","North Rhine-Westphalia",18735,"850",850,104.0,245
"2020-04-05","Rhineland-Palatinate",3663,"159",159,90.0,32
"2020-04-05","Saarland",1358,"93",93,137.0,14
"2020-04-05","Saxony",2741,"150",150,67.0,32
"2020-04-05","Saxony-Anhalt",919,"23",23,42.0,12
"2020-04-05","Schleswig-Holstein",1631,"72",72,56.0,18
"2020-04-05","Thuringia",1140,"68",68,53.0,10
