"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-04-22","Baden-Wuerttemberg",28898,186,261.0,1
"2020-04-22","Bavaria",38814,504,297.0,1
"2020-04-22","Berlin",5312,75,142.0,105
"2020-04-22","Brandenburg",2389,114,95.0,74
"2020-04-22","Bremen",624,15,91.0,26
"2020-04-22","Hamburg",4204,0,228.0,91
"2020-04-22","Hesse",7380,149,118.0,265
"2020-04-22","Mecklenburg-Western Pomerania",656,1,41.0,15
"2020-04-22","Lower Saxony",9236,138,116.0,328
"2020-04-22","North Rhine-Westphalia",30185,796,168.0,964
"2020-04-22","Rhineland-Palatinate",5593,32,137.0,122
"2020-04-22","Saarland",2367,39,239.0,97
"2020-04-22","Saxony",4273,20,105.0,122
"2020-04-22","Saxony-Anhalt",1395,12,63.0,33
"2020-04-22","Schleswig-Holstein",2496,82,86.0,79
"2020-04-22","Thuringia",1872,74,87.0,71
