"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-04-09","Baden-Wuerttemberg",21603,"923",923,195.0,519
"2020-04-09","Bavaria",28827,"1,263",1263,220.0,635
"2020-04-09","Berlin",4202,"174",174,112.0,37
"2020-04-09","Brandenburg",1578,"106",106,63.0,30
"2020-04-09","Bremen",445,"21",21,65.0,11
"2020-04-09","Hamburg",3320,"155",155,180.0,44
"2020-04-09","Hesse",5242,"277",277,84.0,100
"2020-04-09","Mecklenburg-Western Pomerania",572,"17",17,36.0,11
"2020-04-09","Lower Saxony",6804,"419",419,85.0,141
"2020-04-09","North Rhine-Westphalia",21961,"1,032",1032,122.0,384
"2020-04-09","Rhineland-Palatinate",4336,"188",188,106.0,50
"2020-04-09","Saarland",1693,"56",56,171.0,23
"2020-04-09","Saxony",3261,"117",117,80.0,52
"2020-04-09","Saxony-Anhalt",1075,"55",55,49.0,16
"2020-04-09","Schleswig-Holstein",1932,"105",105,67.0,34
"2020-04-09","Thuringia",1351,"66",66,63.0,20
