"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths",5
"2020-05-17","Baden-Württemberg",33950,57,307.0,1,14.9
"2020-05-17","Bavaria",45427,87,347.0,2,17.5
"2020-05-17","Berlin",6447,19,172.0,182,4.9
"2020-05-17","Brandenburg",3171,2,126.0,149,5.9
"2020-05-17","Bremen",1164,14,170.0,37,5.4
"2020-05-17","Hamburg",5029,12,273.0,232,12.6
"2020-05-17","Hesse",9317,56,149.0,435,6.9
"2020-05-17","Mecklenburg-Western Pomerania",748,2,46.0,20,1.2
"2020-05-17","Lower Saxony",11155,63,140.0,544,6.8
"2020-05-17","North Rhine-Westphalia",36286,221,202.0,1,8.4
"2020-05-17","Rhineland-Palatinate",6449,0,158.0,216,5.3
"2020-05-17","Saarland",2696,8,272.0,149,15.0
"2020-05-17","Saxony",5115,26,125.0,196,4.8
"2020-05-17","Saxony-Anhalt",1676,0,76.0,54,2.4
"2020-05-17","Schleswig-Holstein",3,2,104.0,126,4.3
"2020-05-17","Thuringia",2725,14,127.0,138,6.4
