"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths",5
"2020-04-29","Baden-Württemberg",31336,140,283.0,1,11.7
"2020-04-29","Bavaria",41830,424,320.0,1,13.4
"2020-04-29","Berlin",5734,65,153.0,137,3.7
"2020-04-29","Brandenburg",2768,21,110.0,109,4.3
"2020-04-29","Bremen",797,38,117.0,29,4.2
"2020-04-29","Hamburg",4525,20,246.0,153,8.3
"2020-04-29","Hesse",8183,158,131.0,346,5.5
"2020-04-29","Mecklenburg-Western Pomerania",687,12,43.0,17,1.1
"2020-04-29","Lower Saxony",9972,46,125.0,406,5.1
"2020-04-29","North Rhine-Westphalia",32429,245,181.0,1,6.7
"2020-04-29","Rhineland-Palatinate",5982,54,146.0,161,3.9
"2020-04-29","Saarland",2514,5,254.0,129,13.0
"2020-04-29","Saxony",4508,19,111.0,153,3.8
"2020-04-29","Saxony-Anhalt",1525,5,69.0,39,1.8
"2020-04-29","Schleswig-Holstein",2679,26,92.0,103,3.6
"2020-04-29","Thuringia",2170,26,101.0,80,3.7
