"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-04-02","Baden-Wuerttemberg",14662,"1,252",1252,132.0,241
"2020-04-02","Bavaria",18496,"1,999",1999,141.0,268
"2020-04-02","Berlin",2970,"216",216,79.0,19
"2020-04-02","Brandenburg",995,"114",114,40.0,7
"2020-04-02","Bremen",327,"16",16,48.0,6
"2020-04-02","Hamburg",2406,"95",95,131.0,14
"2020-04-02","Hesse",3707,"262",262,59.0,27
"2020-04-02","Mecklenburg-Western Pomerania",438,"32",32,27.0,3
"2020-04-02","Lower Saxony",4695,"313",313,59.0,45
"2020-04-02","North Rhine-Westphalia",15427,"1,076",1076,86.0,161
"2020-04-02","Rhineland-Palatinate",3132,"233",233,77.0,26
"2020-04-02","Saarland",1020,"191",191,103.0,11
"2020-04-02","Saxony",2183,"149",149,54.0,18
"2020-04-02","Saxony-Anhalt",804,"54",54,36.0,8
"2020-04-02","Schleswig-Holstein",1335,"89",89,46.0,11
"2020-04-02","Thuringia",925,"65",65,43.0,7
