"Baden-Württemberg";33.287;182;301;1.542;13.9
"Bavaria;;;;;
"Berlin";6.261;19;167;165;4.4
"Brandenburg";3.101;3;123;134;5.3
"Bremen";1.043;19;153;32;4.7
"Hamburg";4.772;0;259;204;11.1
"Hesse";8.998;82;144;411;6.6
"Mecklenburg-Western Pomerania"Pomerania;;;;;
"Lower Saxony";10.827;24;136;498;6.2
"North Rhine-Westphalia";34.964;147;195;1.425;7.9
"Rhineland-Palatinate";6.291;9;154;195;4.8
"Saarland";2.663;3;269;142;14.3
"Saxony";4.886;13;120;187;4.6
"Saxony-Anhalt";1.640;3;74;48;2.2
"Schleswig-Holstein";2.938;40;101;123;4.2
"Thuringia";2.556;23;119;117;5.5
