"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-04-11","Baden-Wuerttemberg",23617,"1,184",1184,213.0,622
"2020-04-11","Bavaria",31453,"1,090",1090,241.0,747
"2020-04-11","Berlin",4458,"109",109,119.0,46
"2020-04-11","Brandenburg",1764,"73",73,70.0,37
"2020-04-11","Bremen",469,"15",15,69.0,15
"2020-04-11","Hamburg",3663,"112",112,199.0,56
"2020-04-11","Hesse",5808,"114",114,93.0,120
"2020-04-11","Mecklenburg-Western Pomerania",601,"15",15,37.0,11
"2020-04-11","Lower Saxony",7343,"229",229,92.0,171
"2020-04-11","North Rhine-Westphalia",23644,"616",616,132.0,472
"2020-04-11","Rhineland-Palatinate",4622,"182",182,113.0,59
"2020-04-11","Saarland",2016,"162",162,204.0,41
"2020-04-11","Saxony",3565,"163",163,87.0,65
"2020-04-11","Saxony-Anhalt",1135,"14",14,51.0,18
"2020-04-11","Schleswig-Holstein",2065,"36",36,71.0,39
"2020-04-11","Thuringia",1435,"19",19,67.0,25
