"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths",5
"2020-05-03","Baden-Württemberg",32290,145,292.0,1,12.8
"2020-05-03","Bavaria",42792,134,327.0,1,14.6
"2020-05-03","Berlin",5976,33,159.0,154,4.1
"2020-05-03","Brandenburg",2905,19,116.0,122,4.9
"2020-05-03","Bremen",875,4,128.0,30,4.4
"2020-05-03","Hamburg",4631,22,252.0,164,8.9
"2020-05-03","Hesse",8524,38,136.0,370,5.9
"2020-05-03","Mecklenburg-Western Pomerania",698,3,43.0,18,1.1
"2020-05-03","Lower Saxony",10283,37,129.0,453,5.7
"2020-05-03","North Rhine-Westphalia",33428,212,186.0,1,7.2
"2020-05-03","Rhineland-Palatinate",6132,34,150.0,176,4.3
"2020-05-03","Saarland",2605,8,263.0,138,13.9
"2020-05-03","Saxony",4696,79,115.0,165,4.0
"2020-05-03","Saxony-Anhalt",1575,5,71.0,44,2.0
"2020-05-03","Schleswig-Holstein",2738,10,95.0,113,3.9
"2020-05-03","Thuringia",2345,10,109.0,93,4.3
