"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-03-22","Baden-Württemberg",3807,139,34.0,21
"2020-03-22","Bavaria",3650,690,28.0,21
"2020-03-22","Berlin",1024,158,27.0,1
"2020-03-22","Brandenburg",274,20,11.0,0
"2020-03-22","Bremen",165,23,24.0,0
"2020-03-22","Hamburg",872,285,47.0,0
"2020-03-22","Hesse",1175,95,19.0,2
"2020-03-22","Mecklenburg-Western Pomerania",172,7,11.0,0
"2020-03-22","Lower Saxony",1306,283,16.0,1
"2020-03-22","North Rhine-Westphalia",3545,3,20.0,6
"2020-03-22","Rhineland-Palatinate",1053,115,26.0,2
"2020-03-22","Saarland",187,0,19.0,0
"2020-03-22","Saxony",606,39,15.0,0
"2020-03-22","Saxony-Anhalt",211,23,10.0,0
"2020-03-22","Schleswig-Holstein",347,39,12.0,1
"2020-03-22","Thuringia",216,29,10.0,0
