"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-04-04","Baden-Wuerttemberg",17014,"955",955,154.0,316
"2020-04-04","Bavaria",21908,"1,671",1671,168.0,349
"2020-04-04","Berlin",3471,"269",269,93.0,22
"2020-04-04","Brandenburg",1211,"136",136,48.0,12
"2020-04-04","Bremen",354,"13",13,52.0,6
"2020-04-04","Hamburg",2697,"101",101,146.0,16
"2020-04-04","Hesse",4279,"286",286,68.0,42
"2020-04-04","Mecklenburg-Western Pomerania",501,"33",33,31.0,5
"2020-04-04","Lower Saxony",5571,"490",490,70.0,85
"2020-04-04","North Rhine-Westphalia",17885,"1,279",1279,100.0,200
"2020-04-04","Rhineland-Palatinate",3504,"142",142,86.0,29
"2020-04-04","Saarland",1265,"186",186,128.0,14
"2020-04-04","Saxony",2591,"255",255,64.0,24
"2020-04-04","Saxony-Anhalt",896,"60",60,41.0,11
"2020-04-04","Schleswig-Holstein",1559,"116",116,54.0,17
"2020-04-04","Thuringia",1072,"90",90,50.0,10
