"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-04-27","Baden-Württemberg",31043,282,280.0,1
"2020-04-27","Bavaria",41070,158,314.0,1
"2020-04-27","Berlin",5638,38,150.0,125
"2020-04-27","Brandenburg",2721,27,108.0,100
"2020-04-27","Bremen",754,15,110.0,27
"2020-04-27","Hamburg",4475,46,243.0,142
"2020-04-27","Hesse",7979,33,127.0,320
"2020-04-27","Mecklenburg-Western Pomerania",674,1,42.0,16
"2020-04-27","Lower Saxony",9847,62,123.0,391
"2020-04-27","North Rhine-Westphalia",31879,210,178.0,1
"2020-04-27","Rhineland-Palatinate",5879,44,144.0,152
"2020-04-27","Saarland",2503,21,253.0,121
"2020-04-27","Saxony",4458,30,109.0,147
"2020-04-27","Saxony-Anhalt",1515,21,69.0,36
"2020-04-27","Schleswig-Holstein",2638,8,91.0,98
"2020-04-27","Thuringia",2120,22,99.0,74
