Unnamed: 0,TOTAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
CCAA,,IA (14 d.),precisado,ingresado en,Fallecidos,Curados,Nuevos
,confirmados*,,,,,,
,,,hospitalización*,UCI,,,
Andalucía,7.869,"75,51",3.896,364,426,463,495
Aragón,3.078,"201,17",1.505,190,251,440,189
Asturias,1.522,"101,29",766,87,76,190,89
Baleares,1.271,"89,17",634,114,71,422,14
Canarias,1.564,"56,47",632,128,78,123,74
Cantabria,1.384,"201,18",619,60,68,99,63
Castilla La Mancha,9.324,"388,66",3.133¥,360¥,989,657,801
Castilla y León,8.332,"286,14",2.664¥,348¥,786,2.021,457
Cataluña,24.734,"267,50",17.678,2.108,2.508,8.635,1.274
Ceuta,73,"80,21",8,4,1,2,11
C. Valenciana,6.901,"110,68",1.977¥,386¥,571,695,277
Extremadura,1.979,"152,19",453,64,208,205,86
Galicia,5.625,"181,00",1.767,178¥,159,531,406
Madrid,36.249,"410,12",14.741¥,1.498¥,4.723,15.362,2.061
Melilla,79,"62,44",37,3,2,9,9
Murcia,1.188,"63,46",434,79,51,113,43
Navarra,2.972,"352,79",1.341,120,171,311,136
País Vasco,8.187,"292,69",4.522,377,477,3.098,360
La Rioja,2.405,"581,13",805,64,128,843,181
ESPAÑA,124.736,"212,24",57.612,6.532,11.744,34.219,7.026
