Unnamed: 0;TOTAL;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
CCAA;;IA (14 d.);precisado;ingresado en;Fallecidos;Curados;Nuevos
;confirmados*;;hospitalización¥;UCI;;;
Andalucía;10.006;63,27;4.950;619;799;1.838;294
Aragón;4.070;167,67;1.901;272;450;934;101
Asturias;1.892;78,61;1.208;106;140;430;65
Baleares;1.534;50,11;805;142;112;848;27
Canarias;1.918;36,83;758;144;95;447;31
Cantabria;1.752;125,46;805;75;110;297;33
Castilla La Mancha;13.698;415,77;6.838;316¥;1.543;2.365;242
Castilla y León;12.118;279,39;5.957;323¥;1.221;4.010;575
Cataluña;34.027;247,56;22.369;2.658;3.442;14.975;1.043
Ceuta;93;84,93;9;4;4;17;0
C. Valenciana;8.841;81,08;4.149;567;838;2.624;263
Extremadura;2.580;105,27;1.074;106;312;481;94
Galicia;7.336;155,47;2.306;140¥;274;1.143;160
Madrid;46.587;358,83;11.424¥;1.332¥;6.278;24.683;738
Melilla;98;57,81;43;3;2;18;0
Murcia;1.449;38,62;537;91;97;344;36
Navarra;3.969;299,29;1.663;124;232;650;152
País Vasco;10.772;227,92;5.547;459;804;4.867;257
La Rioja;3.279;520,84;1.122;73;219;1.420;56
ESPAÑA;166.019;185,48;;;16.972;62.391;4.167
