Unnamed: 0;TOTAL;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
CCAA;;IA (14 d.);precisado;precisado;Fallecidos;Curados;Nuevos
;confirmados*;;;;;;
;;;hospitalización*;ingreso en UCI;;;
Andalucía;5.405;57,65;2.671;216;236;155;723
Aragón;2.078;144,32;1.094;156;106;174;220
Asturias;1.158;95,91;479;60;49;78;70
Baleares;1.000;80,65;353;80;37;100;42
Canarias;1.204;50,39;444;84;40;32;79
Cantabria;1.100;179,32;481;46;27;24;77
Castilla La Mancha;5.858;260,27;3.134;302;622;252;612
Castilla y León;5.801;227,83;2.540;307;442;871;387
Cataluña;16.157;198,74;11.769;1.512;1.410;4.125;1.131
Ceuta;25;28,31;2;2;1;0;4
C. Valenciana;5.110;93,95;2.042;336;310;185;326
Extremadura;1.560;135,71;353;43;106;60;104
Galicia;3.723;128,84;1.147;134;66;168;584
Madrid;24.090;299,02;14.917;1.460;3.392;8.301;1.413
Melilla;51;49,72;27;3;1;0;3
Murcia;939;57,70;265;58;25;17;67
Navarra;2.146;286,14;955;96;102;161;135
País Vasco;6.057;245,81;3.427;293;297;1.646;317
La Rioja;1.733;448,55;517;43;71;431;104
ESPAÑA;85.195;161,62;46.617;5.231;7.340;16.780;6.398
