Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.804;1;140 1,66;42 0,50;27 0,32;2 0,02
Aragón;5.812;7;148 11,22;78 5,91;41 3,11;11 0,83
Asturias;2.431;0;32 3,13;6 0,59;4 0,39;2 0,20
Baleares;2.142;1;48 4,18;16 1,39;14 1,22;4 0,35
Canarias;2.371;1;43 2,00;10 0,46;2 0,09;1 0,05
Cantabria;2.327;3;21 3,61;11 1,89;13 2,24;5 0,86
Castilla La Mancha;17.702;13;450 22,14;171 8,41;65 3,20;25 1,23
Castilla y León;19.254;5;501 20,88;182 7,58;40 1,67;9 0,38
Cataluña;59.423;27;1.539 20,05;631 8,22;300 3,91;70 0,91
Ceuta;163;0;24 28,31;0 0,00;8 9,44;0 0,00
C. Valenciana;11.381;15;199 3,98;103 2,06;33 0,66;8 0,16
Extremadura;2.983;1;21 1,97;10 0,94;8 0,75;1 0,09
Galicia;9.154;1;25 0,93;12 0,44;7 0,26;3 0,11
Madrid;70.051;72;1.455 21,84;625 9,38;261 3,92;75 1,13
Melilla;122;0;1 1,16;0 0,00;0 0,00;0 0,00
Murcia;1.626;0;28 1,87;11 0,74;4 0,27;2 0,13
Navarra;5.303;4;81 12,38;38 5,81;14 2,14;5 0,76
País Vasco;13.595;5;99 4,48;61 2,76;39 1,77;21 0,95
La Rioja;4.063;0;19 6,00;9 2,84;6 1,89;1 0,32
ESPAÑA;242.707;156;4.874 10,36;2.016 4,29;886 1,88;245 0,52
