Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.679;3;134 1,59;56 0,67;23 0,27;8 0,10
Aragón;5.695;4;218 16,52;96 7,28;41 3,11;10 0,76
Asturias;2.425;2;36 3,52;27 2,64;7 0,68;3 0,29
Baleares;2.142;1;67 5,83;28 2,44;14 1,22;3 0,26
Canarias;2.347;1;60 2,79;30 1,39;9 0,42;3 0,14
Cantabria;2.303;0;38 6,54;20 3,44;9 1,55;3 0,52
Castilla La Mancha;17.259;3;447 21,99;189 9,30;74 3,64;25 1,23
Castilla y León;18.907;11;620 25,84;314 13,09;65 2,71;18 0,75
Cataluña;59.019;16;2.627 34,23;1.061 13,82;329 4,29;79 1,03
Ceuta;146;1;28 33,03;21 24,77;12 14,15;2 2,36
C. Valenciana;11.228;6;240 4,80;88 1,76;28 0,56;10 0,20
Extremadura;2.966;0;26 2,44;12 1,12;10 0,94;6 0,56
Galicia;9.129;0;78 2,89;19 0,70;16 0,59;4 0,15
Madrid;68.852;18;1.610 24,16;674 10,11;263 3,95;81 1,22
Melilla;121;0;0 0,00;0 0,00;0 0,00;0 0,00
Murcia;1.599;0;34 2,28;7 0,47;4 0,27;0 0,00
Navarra;5.259;5;112 17,12;65 9,94;20 3,06;4 0,61
País Vasco;13.511;0;125 5,66;43 1,95;21 0,95;6 0,27
La Rioja;4.051;0;24 7,58;10 3,16;11 3,47;3 0,95
ESPAÑA;239.638;71;6.524 13,87;2.760 5,87;956 2,03;268 0,57
