Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.306 5;789 1;1.404;0
Aragón;2.674 8;273 1;826;0
Asturias;1.114 2;126 0;314;7
Baleares;1.168 0;169 0;209;0
Canarias;950 3;184 0;151;0
Cantabria;1.052 2;80 1;202;0
Castilla La Mancha;9.377 17;660 3;2.945;3
Castilla y León;8.712 19;622 2;1.928;4
Cataluña;29.252 31;2.979 1;5.587;3
Ceuta;14 0;4 0;4;0
C. Valenciana;5.802 10;740 0;1.332;0
Extremadura;1.772 0;138 0;508;0
Galicia;2.932 1;336 0;609;0
Madrid;42.188 43;3.594 1;8.691;10
Melilla;44 0;3 0;2;0
Murcia;682 0;115 0;148;1
Navarra;2.039 1;136 0;490;0
País Vasco;6.971 5;578 0;1.424;2
La Rioja;1.487 4;91 0;362;2
ESPAÑA;124.536 151;11.617 10;27.136;32
