Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.210 14;766 2;1.375 4
Aragón;2.442 8;256 1;848 1
Asturias;1.089 0;121 0;307 3
Baleares;1.144 2;169 1;221 0
Canarias;944 1;179 0;155 0
Cantabria;1.036 0;79 0;209 0
Castilla La Mancha;9.138 16;639 0;2.919 6
Castilla y León;8.735 1;561 6;1.960 0
Cataluña**;29.497 -;2.969 -;6.021 -
Ceuta;11 0;4 0;4 0
C. Valenciana;5.747 5;730 3;1.383 5
Extremadura;1.780 0;110 0;505 1
Galicia;2.943 4;334 0;608 1
Madrid;42.497 75;3.617 7;8.931 19
Melilla;44 0;3 0;2 0
Murcia;680 1;112 0;149 1
Navarra;2.048 0;136 0;506 3
País Vasco;7.032 8;578 0;1.483 3
La Rioja;1.504 5;91 0;354 1
ESPAÑA;124.521 140;11.454 20;27.940 48
