Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.299 19;772 0;1.404;2
Aragón;2.659 8;270 0;826;0
Asturias;1.110 6;124 0;311;9
Baleares;1.186 1;171 0;209;0
Canarias;948 3;180 1;151;0
Cantabria;1.046 3;79 0;202;0
Castilla La Mancha;9.337 8;653 2;2.945;0
Castilla y León;8.685 37;550 4;1.928;25
Cataluña;29.168 20;2.978 0;5.587;7
Ceuta;14 2;4 0;4;0
C. Valenciana;5.794 3;740 0;1.332;3
Extremadura;1.772 3;110 0;508;4
Galicia;2.932 7;329 0;609;1
Madrid;42.068 35;3.550 3;8.691;2
Melilla;44 0;3 0;2;0
Murcia;680 3;112 0;148;0
Navarra;2.038 2;136 1;490;0
País Vasco;6.963 5;574 0;1.424;1
La Rioja;1.484 1;91 0;362;2
ESPAÑA;124.227 166;11.426 11;27.133;56
