Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.275 17;772 1;1.404;2
Aragón;2.657 12;270 0;826;2
Asturias;1.110 9;124 0;310;9
Baleares;1.186 1;171 0;209;0
Canarias;949 4;180 1;151;0
Cantabria;1.046 4;79 0;202;0
Castilla La Mancha;9.323 16;651 3;2.945;0
Castilla y León;8.606 32;550 3;1.925;28
Cataluña;29.154 39;2.977 1;5.587;8
Ceuta;14 2;4 0;4;0
C. Valenciana;5.745 6;736 0;1.332;5
Extremadura;1.772 5;110 0;508;4
Galicia;2.930 6;329 0;609;2
Madrid;42.041 53;3.546 0;8.691;1
Melilla;44 0;3 0;2;0
Murcia;677 3;112 0;148;0
Navarra;2.038 3;136 1;490;0
País Vasco;6.962 7;574 0;1.424;1
La Rioja;1.484 2;91 0;361;1
ESPAÑA;124.013 221;11.415 10;27.128;63
