Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
CCAA;Con fecha de ingreso en;Con fecha de ingreso en;;Con fecha de defunción
;Total*;Total*;Total*;
;los últimos 7 días;UCI en  los últimos 7 días;;en  los últimos 7 días
Andalucía;6.246 25;770 4;1.404;0
Aragón;2.634 11;267 2;826;0
Asturias;1.097 2;122 0;310;0
Baleares;1.163 7;165 0;209;0
Canarias;946 5;179 1;150;0
Cantabria;1.031 1;79 0;202;0
Castilla La Mancha;9.225 22;645 3;2.945;2
Castilla y León;8.553 24;547 0;1.922;4
Cataluña;29.090 37;2.976 0;5.583;9
Ceuta;13 1;4 0;5;0
C. Valenciana;5.403 14;719 1;1.332;2
Extremadura;1.761 11;110 0;507;2
Galicia;2.917 3;328 0;607;1
Madrid;41.913 78;3.538 1;8.691;6
Melilla;44 0;3 0;2;0
Murcia;674 1;112 0;148;1
Navarra;2.034 0;135 0;490;0
País Vasco;6.955 10;574 0;1.424;0
La Rioja;1.483 4;91 0;360;8
ESPAÑA;123.182 256;11.364 12;27.117;35
