Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.310 5;789 0;1.404;1
Aragón;2.677 6;273 0;826;1
Asturias;1.116 3;127 0;314;5
Baleares;1.171 3;169 0;209;0
Canarias;950 3;184 0;151;0
Cantabria;1.052 2;80 1;202;0
Castilla La Mancha;9.385 11;660 1;2.945;2
Castilla y León;8.723 18;622 1;1.928;5
Cataluña;29.270 21;2.980 1;5.587;0
Ceuta;14 0;4 0;4;0
C. Valenciana;5.803 8;741 1;1.332;1
Extremadura;1.772 0;138 0;508;1
Galicia;2.933 1;336 0;609;0
Madrid;42.222 35;3.596 2;8.691;7
Melilla;44 0;3 0;2;0
Murcia;679 0;112 0;148;1
Navarra;2.040 2;136 0;490;0
País Vasco;6.973 5;578 0;1.424;3
La Rioja;1.488 2;91 0;362;0
ESPAÑA;124.622 125;11.619 7;27.136;27
