Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;totales;;;;;
;;el día previo;No IA*;No IA*;No IA*;No IA*
Andalucía;12.450;0;165 1,96;62 0,74;26 0,31;6 0,07
Aragón;5.600;2;264 20,01;103 7,81;47 3,56;13 0,99
Asturias;2.380;2;30 2,93;4 0,39;9 0,88;1 0,10
Baleares;2.035;0;86 7,48;25 2,17;26 2,26;6 0,52
Canarias;2.317;2;57 2,65;30 1,39;10 0,46;4 0,19
Cantabria;2.283;0;38 6,54;18 3,10;13 2,24;2 0,34
Castilla La Mancha;16.909;0;347 17,07;117 5,76;58 2,85;12 0,59
Castilla y León;18.555;1;560 23,34;244 10,17;74 3,08;20 0,83
Cataluña**;57.320;89;- -;- -;- -;- -
Ceuta;124;0;14 16,51;7 8,26;4 4,72;2 2,36
C. Valenciana;11.056;2;280 5,60;118 2,36;45 0,90;11 0,22
Extremadura;2.952;2;34 3,18;11 1,03;11 1,03;1 0,09
Galicia;9.079;0;80 2,96;26 0,96;17 0,63;3 0,11
Madrid;67.932;18;1.904 28,57;771 11,57;187 2,81;45 0,68
Melilla;121;0;2 2,31;0 0,00;0 0,00;0 0,00
Murcia;1.573;6;56 3,75;23 1,54;10 0,67;4 0,27
Navarra;5.195;6;130 19,87;48 7,34;29 4,43;10 1,53
País Vasco;13.478;0;253 11,46;71 3,22;46 2,08;7 0,32
La Rioja;4.041;2;33 10,42;11 3,47;13 4,10;3 0,95
ESPAÑA;235.400;132;6.846 14,56;3.121 6,64;1.026 2,18;243 0,52
