Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.814;5;137 1,63;42 0,50;27 0,32;3 0,04
Aragón;5.833;8;148 11,22;67 5,08;42 3,18;12 0,91
Asturias;2.435;4;34 3,32;10 0,98;6 0,59;2 0,20
Baleares;2.146;5;43 3,74;17 1,48;13 1,13;4 0,35
Canarias;2.374;2;39 1,81;11 0,51;2 0,09;1 0,05
Cantabria;2.327;0;20 3,44;7 1,20;13 2,24;5 0,86
Castilla La Mancha;17.740;1;415 20,41;155 7,62;61 3,00;19 0,93
Castilla y León;19.296;2;470 19,59;178 7,42;44 1,83;14 0,58
Cataluña;59.593;33;1.461 19,04;630 8,21;296 3,86;70 0,91
Ceuta;163;0;18 21,23;0 0,00;7 8,26;0 0,00
C. Valenciana;11.389;9;192 3,84;94 1,88;32 0,64;6 0,12
Extremadura;2.984;1;19 1,78;8 0,75;9 0,84;0 0,00
Galicia;9.157;2;26 0,96;13 0,48;7 0,26;3 0,11
Madrid;70.231;74;1.511 22,68;644 9,66;269 4,04;79 1,19
Melilla;122;0;1 1,16;0 0,00;0 0,00;0 0,00
Murcia;1.628;0;28 1,87;11 0,74;5 0,33;2 0,13
Navarra;5.308;4;71 10,85;33 5,04;14 2,14;5 0,76
País Vasco;13.603;2;98 4,44;66 2,99;41 1,86;19 0,86
La Rioja;4.066;3;18 5,68;9 2,84;8 2,53;3 0,95
ESPAÑA;243.209;155;4.749 10,10;1.995 4,24;896 1,91;247 0,53
