Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.307 5;789 1;1.404;0
Aragón;2.677 11;273 1;826;1
Asturias;1.115 3;127 0;314;7
Baleares;1.168 0;169 0;209;0
Canarias;950 3;184 0;151;0
Cantabria;1.052 2;80 1;202;0
Castilla La Mancha;9.378 12;660 2;2.945;2
Castilla y León;8.719 17;622 1;1.928;5
Cataluña;29.264 25;2.979 1;5.587;0
Ceuta;14 0;4 0;4;0
C. Valenciana;5.805 11;741 1;1.332;0
Extremadura;1.772 0;138 0;508;1
Galicia;2.933 1;336 0;609;0
Madrid;42.208 42;3.595 2;8.691;5
Melilla;44 0;3 0;2;0
Murcia;679 0;112 0;148;1
Navarra;2.040 1;136 0;490;0
País Vasco;6.971 5;578 0;1.424;3
La Rioja;1.488 3;91 0;362;0
ESPAÑA;124.584 141;11.617 10;27.136;25
