Unnamed: 0,TOTAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
CCAA,,IA (14 d.),precisado,ingresado en,Fallecidos,Curados,Nuevos
,confirmados*,,hospitalización¥,UCI,,,
Andalucía,10.187,"56,83",4.993,621,815,1.967,181
Aragón,4.187,"159,86",1.938,274,464,946,117
Asturias,1.958,"78,22",1.265,110,149,434,66
Baleares,1.550,"47,85",811,143,117,862,16
Canarias,1.944,"34,36",763,145,96,458,26
Cantabria,1.777,"116,51",827,75,117,317,25
Castilla La Mancha,14.054,"403,18",7.782,475,1.626,2.532,356
Castilla y León,12.628,"284,51",6.077,312¥,1.263,4.154,510
Cataluña,34.726,"241,93",22.780,2.713,3.538,15.602,699
Ceuta,95,"82,57",9,4,4,20,2
C. Valenciana,9.060,"78,94",4.269,576,876,2.803,219
Extremadura,2.658,"102,84",1.096,108,321,511,78
Galicia,7.494,"139,69",2.344,136¥,284,1.186,158
Madrid,47.146,"346,01",11.233¥,1.327¥,6.423,25.385,559
Melilla,101,"57,81",43,3,2,18,3
Murcia,1.463,"35,08",543,94,101,353,14
Navarra,4.092,"297,46",1.693,124,239,695,123
País Vasco,11.018,"224,71",5.622,464,831,5.026,246
La Rioja,3.358,"512,95",1.141,73,223,1.458,79
ESPAÑA,169.496,"179,26",,,17.489,64.727,3.477
