Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;5.983 10;738 0;1.267 4
Aragón;2.539 13;260 0;770 8
Asturias;2.046 32;142 0;284 0
Baleares;1.110 8;168 1;198 1
Canarias;920 1;176 1;142 1
Cantabria*;1.015 4;79 0;198 1
Castilla La Mancha;8.725 27;609 3;2.616 26
Castilla y León;8.153 30;537 3;1.832 14
Cataluña;27.745 424;2.856 9;5.270 50
Ceuta;10 0;4 0;4 0
C. Valenciana;5.214 10;701 1;1.279 10
Extremadura;1.629 11;108 0;462 2
Galicia;2.792 10;317 2;573 4
Madrid;40.851 110;3.442 11;8.420 44
Melilla;44 0;3 0;2 0
Murcia;650 5;111 1;136 2
Navarra;1.995 5;134 1;471 5
País Vasco;6.736 17;556 2;1.353 12
La Rioja;1.452 3;90 2;336 1
ESPAÑA;119.609 720;11.031 37;25.613 185
