Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.708;12;145 1,72;73 0,87;28 0,33;14 0,17
Aragón;5.711;8;204 15,46;80 6,06;43 3,26;13 0,99
Asturias;2.425;0;33 3,23;27 2,64;7 0,68;3 0,29
Baleares;2.150;1;60 5,22;28 2,44;12 1,04;4 0,35
Canarias;2.351;4;63 2,93;28 1,30;6 0,28;3 0,14
Cantabria;2.314;2;40 6,88;16 2,75;9 1,55;4 0,69
Castilla La Mancha;17.310;0;452 22,23;196 9,64;78 3,84;23 1,13
Castilla y León;18.925;0;598 24,92;293 12,21;66 2,75;18 0,75
Cataluña;59.035;17;2.475 32,25;896 11,67;332 4,33;77 1,00
Ceuta;155;9;35 41,28;26 30,67;16 14,15;1 1,18
C. Valenciana;11.238;1;235 4,70;87 1,74;26 0,52;11 0,22
Extremadura;2.971;4;28 2,62;15 1,40;11 1,03;5 0,47
Galicia;9.130;0;69 2,56;14 0,52;14 0,52;4 0,15
Madrid;68.960;73;1.558 23,38;692 10,39;258 3,87;57 0,86
Melilla;122;1;1 1,16;1 1,16;0 0,00;0 0,00
Murcia;1.603;2;37 2,48;11 0,74;3 0,20;1 0,07
Navarra;5.259;1;106 16,20;60 9,17;19 2,90;4 0,61
País Vasco;13.513;1;106 4,80;38 1,72;18 0,82;4 0,18
La Rioja;4.052;1;19 6,00;8 2,53;9 2,84;1 0,32
ESPAÑA;239.932;137;6.264 13,32;2.589 5,51;955 2,02;247 0,53
