Unnamed: 0,TOTAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
CCAA,,IA (14 d.),precisado,ingresado en,Fallecidos,Curados,Nuevos
,confirmados*,,hospitalización¥,UCI,,,
Andalucía,8.997,"71,15",4.463,520,605,1.041,230
Aragón,3.549,"200,26",1.716,255,349,659,100
Asturias,1.705,"90,54",958,91,102,294,26
Baleares,1.412,"73,95",731,129,89,616,43
Canarias,1.762,"51,31",703,138,91,249,37
Cantabria,1.572,"182,76",700,69,92,175,71
Castilla La Mancha,11.788,"443,12",2.731¥,354¥,1.255,1.557,711
Castilla y León,10.058,"296,64",5.322,342¥,1.028,2.988,477
Cataluña,29.647,"256,80",20.250,2.442,3.041,12.250,1.324
Ceuta,84,"88,47",9,4,4,7,1
C. Valenciana,7.655,"100,70",1.714¥,371¥,724,1.344,212
Extremadura,2.184,"135,06",898,98,271,328,68
Galicia,6.538,"180,96",2.014,158¥,213,800,207
Madrid,42.450,"418,00",13.289¥,1.450¥,5.586,19.836,1.981
Melilla,93,"63,59",40,3,2,12,1
Murcia,1.326,"56,83",515,86,85,203,43
Navarra,3.467,"346,98",1.526,124,206,450,112
País Vasco,9.452,"279,96",4.982,430,635,4.151,431
La Rioja,2.951,"638,58",955,68,177,1.061,105
ESPAÑA,146.690,"210,69",,,14.555,48.021,6.180
