Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.146 18;754 3;1.344 8
Aragón;2.637 12;266 1;837 1
Asturias;2.268 16;152 1;310 2
Baleares;1.136 5;171 0;216 0
Canarias;938 1;178 0;151 0
Cantabria;1.031 1;79 0;206 1
Castilla La Mancha;9.001 21;635 1;2.870 18
Castilla y León;8.595 35;548 0;1.930 5
Cataluña;29.382 77;3.050 2;5.882 59
Ceuta;11 0;4 0;4 0
C. Valenciana;5.415 26;721 4;1.358 9
Extremadura;1.772 11;109 0;494 2
Galicia;2.921 6;332 5;601 0
Madrid;42.057 95;3.574 10;8.809 30
Melilla;44 0;3 0;2 0
Murcia;675 3;112 0;143 1
Navarra;2.045 0;136 1;500 2
País Vasco;7.009 15;578 1;1.454 0
La Rioja;1.488 4;91 0;348 0
ESPAÑA;124.571 346;11.493 29;27.459 138
