Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.655;7;144 1,71;47 0,56;19 0,23;3 0,04
Aragón;5.671;14;244 18,49;103 7,81;46 3,49;14 1,06
Asturias;2.401;1;17 1,66;6 0,59;7 0,68;1 0,10
Baleares;2.129;1;76 6,61;24 2,09;21 1,83;3 0,26
Canarias;2.333;5;57 2,65;22 1,02;10 0,46;1 0,05
Cantabria;2.298;1;39 6,71;21 3,61;11 1,89;4 0,69
Castilla La Mancha;17.122;3;400 19,68;166 8,17;76 3,74;20 0,98
Castilla y León;18.747;7;569 23,71;266 11,09;70 2,92;16 0,67
Cataluña;58.699;47;3.041 39,62;1.384 18,03;385 5,02;84 1,09
Ceuta;145;6;28 33,03;20 23,59;13 15,33;8 9,44
C. Valenciana;11.191;11;280 5,60;114 2,28;35 0,70;11 0,22
Extremadura;2.963;2;28 2,62;15 1,40;10 0,94;6 0,56
Galicia;9.117;1;84 3,11;28 1,04;15 0,56;3 0,11
Madrid;68.597;61;1.600 24,01;594 8,91;281 4,22;84 1,26
Melilla;121;0;2 2,31;0 0,00;0 0,00;0 0,00
Murcia;1.595;1;43 2,88;18 1,20;6 0,40;0 0,00
Navarra;5.238;15;129 19,72;68 10,39;21 3,21;7 1,07
País Vasco;13.494;2;146 6,61;46 2,08;27 1,22;8 0,36
La Rioja;4.048;2;29 9,15;9 2,84;8 2,53;3 0,95
ESPAÑA;238.564;187;6.956 14,79;2.951 6,28;1.061 2,26;276 0,59
