Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.012 29;740 2;1.281 14
Aragón;2.552 13;260 0;788 18
Asturias;2.081 35;142 0;287 3
Baleares;1.122 12;168 0;199 1
Canarias;920 0;176 0;143 1
Cantabria;1.018 3;79 0;199 1
Castilla La Mancha;8.765 40;612 3;2.647 31
Castilla y León;8.246 93;538 1;1.847 15
Cataluña;28.085 340;2.871 15;5.345 75
Ceuta;10 0;4 0;4 0
C. Valenciana;5.225 11;701 0;1.291 12
Extremadura;1.650 21;108 0;463 1
Galicia;2.811 19;319 2;582 9
Madrid;41.031 180;3.465 23;8.466 46
Melilla;44 0;3 0;2 0
Murcia;650 0;111 0;136 0
Navarra;2.005 10;135 1;476 5
País Vasco;6.781 45;559 3;1.364 11
La Rioja;1.458 6;91 1;337 1
ESPAÑA;120.466 857;11.082 51;25.857 244
