Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.609;4;141 1,68;54 0,64;21 0,25;6 0,07
Aragón;5.638;15;276 20,92;109 8,26;48 3,64;14 1,06
Asturias;2.399;0;23 2,25;5 0,49;6 0,59;1 0,10
Baleares;2.118;5;124 10,79;25 2,17;21 1,83;3 0,26
Canarias;2.326;3;59 2,74;26 1,21;12 0,56;3 0,14
Cantabria;2.289;0;34 5,85;18 3,10;10 1,72;0 0,00
Castilla La Mancha;16.984;0;401 19,73;141 6,94;73 3,59;12 0,59
Castilla y León;18.631;9;567 23,63;245 10,21;67 2,79;20 0,83
Cataluña;57.749;93;2.619 34,12;1.360 17,72;370 4,82;65 0,85
Ceuta;129;0;13 15,33;8 9,44;3 3,54;0 0,00
C. Valenciana;11.100;6;285 5,70;125 2,50;37 0,74;9 0,18
Extremadura;2.955;0;29 2,72;11 1,03;4 0,37;2 0,19
Galicia;9.113;2;89 3,30;46 1,70;16 0,59;3 0,11
Madrid;68.266;81;1.773 26,61;702 10,54;214 3,21;44 0,66
Melilla;121;0;2 2,31;0 0,00;0 0,00;0 0,00
Murcia;1.588;1;47 3,15;22 1,47;9 0,60;1 0,07
Navarra;5.206;7;128 19,57;44 6,73;21 3,21;7 1,07
País Vasco;13.504;5;221 10,01;58 2,63;31 1,40;6 0,27
La Rioja;4.044;0;32 10,10;8 2,53;11 3,47;3 0,95
ESPAÑA;236.769;231;6.863 14,59;3.007 6,39;974 2,07;199 0,42
