CCAA;Total casos;IA últimos 14 días;Ingreso en UCI;Fallecidos
Andalucía;219.0;2,53;8;0
Aragón;80.0;6,06;3;7
Asturias;67.0;6,55;2;1
Baleares;30.0;2,52;2;1
Canarias;70.0;2,97;2;0
Cantabria;29.0;4,99;0;0
Castilla-La Mancha;194.0;9,54;10;5
Castilla y León;169.0;6,96;8;1
Cataluña;316.0;4,08;25;4
Ceuta;0.0;0,00;0;0
C. Valenciana;94.0;1,72;2;1
Extremadura;39.0;3,65;1;1
Galicia;85.0;3,15;2;0
Madrid;1990.0;29,79;180;81
Melilla;2.0;2,31;0;0
Murcia;35.0;2,34;1;0
Navarra;130.0;19,87;4;0
País Vasco;417.0;18,89;20;14
La Rioja;243.0;76,71;2;2
Total;4.209;8,99;272;120
