Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.092 12;745 0;1.322 2
Aragón;2.595 7;263 0;825 1
Asturias;2.197 12;149 2;299 4
Baleares;1.126 0;169 0;209 0
Canarias;936 1;178 0;149 1
Cantabria;1.027 0;79 0;201 0
Castilla La Mancha;8.918 23;624 1;2.786 27
Castilla y León;8.482 14;547 1;1.905 8
Cataluña;28.820 36;2.995 4;5.555 23
Ceuta;11 0;4 0;4 0
C. Valenciana;5.355 1;716 0;1.330 7
Extremadura;1.725 14;109 0;483 3
Galicia;2.902 16;326 1;593 1
Madrid;41.650 91;3.529 9;8.683 39
Melilla;44 0;3 0;2 0
Murcia;665 3;113 0;139 0
Navarra;2.029 6;135 0;490 2
País Vasco;6.922 20;573 2;1.423 5
La Rioja;1.475 1;91 0;346 0
ESPAÑA;122.971 257;11.348 20;26.744 123
