Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.114 13;750 5;1.332 6
Aragón;2.614 8;265 1;829 1
Asturias;2.239 27;151 1;307 3
Baleares;1.132 5;172 2;215 5
Canarias;937 0;178 0;151 0
Cantabria;1.029 2;79 0;205 2
Castilla La Mancha;8.963 23;632 3;2.835 24
Castilla y León;8.517 24;547 0;1.919 5
Cataluña;29.267 129;3.034 39;5.692 71
Ceuta;11 0;4 0;4 0
C. Valenciana;5.370 10;717 0;1.341 5
Extremadura;1.754 17;109 0;489 2
Galicia;2.905 0;327 1;597 2
Madrid;41.856 121;3.555 12;8.760 40
Melilla;44 0;3 0;2 0
Murcia;666 1;112 0;142 3
Navarra;2.042 3;135 0;494 1
País Vasco;6.955 26;575 1;1.442 13
La Rioja;1.481 3;91 0;348 1
ESPAÑA;123.896 412;11.436 65;27.104 184
