Unnamed: 0,TOTAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
CCAA,,IA (14 d.),precisado,ingresado en,Fallecidos,Curados,Nuevos
,confirmados*,,hospitalización¥,UCI,,,
Andalucía,9.261,"69,58",4.599,538,652,1.193,264
Aragón,3.685,"194,73",1.765,261,385,718,136
Asturias,1.737,"87,60",1.018,94,110,340,32
Baleares,1.448,"68,55",751,132,89,696,36
Canarias,1.834,"48,76",730,140,92,359,72
Cantabria,1.619,"163,15",720,71,98,214,47
Castilla La Mancha,12.489,"447,94",2.575¥,342¥,1.322,1.766,701
Castilla y León,10.518,"292,97",5.523,338¥,1.082,3.242,460
Cataluña,31.043,"253,43",20.943,2.507,3.148,13.063,1.396
Ceuta,84,"87,29",9,4,4,7,0
C. Valenciana,7.964,"95,21",3.815,541,767,1.772,309
Extremadura,2.273,"122,13",958,99,283,381,89
Galicia,6.758,"179,40",2.094,155¥,231,910,220
Madrid,43.877,"400,86",12.853¥,1.433¥,5.800,21.121,1.427
Melilla,93,"62,44",40,3,2,16,0
Murcia,1.356,"50,87",533,87,88,219,30
Navarra,3.575,"330,78",1.526,124,214,462,108
País Vasco,9.806,"265,43",5.130,433,689,4.514,354
La Rioja,3.026,"641,10",997,69,182,1.172,75
ESPAÑA,152.446,"204,69",,,15.238,52.165,5.756
