Unnamed: 0;TOTAL;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
CCAA;;IA (14 d.);precisado;precisado;Fallecidos;Curados;Nuevos
;confirmados*;;;;;;
;;;hospitalización*;ingreso en UCI;;;
Andalucía;4682;50,45;2.294;201;207;148;405
Aragón;1858;129,69;835;124;93;8;266
Asturias;1088;92,98;466;57;41;76;84
Baleares;958;79,69;345;71;29;82;96
Canarias;1125;47,18;425;78;39;30;100
Cantabria;1023;167,28;449;40;26;25;86
Castilla La Mancha;5246;238,33;3.018;299;539;236;734
Castilla y León;5414;213,46;2.408;278;380;752;623
Cataluña;15026;186,46;10.688;1.391;1.226;3.455;763
Ceuta;21;23,59;2;2;1;0;4
C. Valenciana;4784;87,43;1.874;309;267;161;750
Extremadura;1456;127,47;313;41;100;51;62
Galicia;3139;109,06;1.043;123;60;153;367
Madrid;22677;287,14;14.454;1.429;3.082;7.491;1.157
Melilla;48;46,25;24;2;1;0;3
Murcia;872;53,62;260;58;20;16;70
Navarra;2011;279,42;896;90;84;125;182
País Vasco;5740;231,45;3.106;271;265;1.503;604
La Rioja;1629;419,51;497;43;68;397;193
ESPAÑA;78.797;151,04;43.397;4.907;6.528;14.709;6.549
