Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.101 9;745 0;1.326 4
Aragón;2.606 11;264 1;828 3
Asturias;2.212 15;150 1;304 5
Baleares;1.127 1;170 1;210 1
Canarias;937 1;178 0;151 2
Cantabria;1.027 0;79 0;203 2
Castilla La Mancha;8.940 22;629 5;2.811 25
Castilla y León;8.493 11;547 0;1.914 9
Cataluña;29.138 318;2.995 0;5.621 66
Ceuta;11 0;4 0;4 0
C. Valenciana;5.360 5;717 1;1.336 6
Extremadura;1.737 12;109 0;487 4
Galicia;2.905 3;326 0;595 2
Madrid;41.735 85;3.543 14;8.720 37
Melilla;44 0;3 0;2 0
Murcia;665 0;112 0;139 0
Navarra;2.039 10;135 0;493 3
País Vasco;6.929 7;574 1;1.429 6
La Rioja;1.478 3;91 0;347 1
ESPAÑA;123.484 513;11.371 24;26.920 176
