Unnamed: 0;TOTAL;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
CCAA;;IA (14 d.);precisado;precisado;Fallecidos;Curados;Nuevos
;confirmados*;;;;;;
;;;hospitalización*;ingreso en UCI;;;
Andalucía;6.972;70,88;3.444;280;343;228;580
Aragón;2.700;183,36;1.320;178;200;320;209
Asturias;1.384;106,77;640;79;69;135;62
Baleares;1.204;90,04;517;105;58;239;73
Canarias;1.444;56,84;566;113;68;94;64
Cantabria;1.268;203,93;567;57;60;60;55
Castilla La Mancha;7.682;338,49;3.230¥;355;854;494;635
Castilla y León;7.355;270,34;2.709;353;641;1.498;508
Cataluña;21.804;248,88;15.489;1.855;2.093;6.917;1.813
Ceuta;55;63,70;7;3;1;0;4
C. Valenciana;6.308;107,66;2.189¥;379;443;432;386
Extremadura;1.837;149,48;412;62;181;139;158
Galicia;4.842;162,59;1.447;165;120;333;410
Madrid;32.155;380,86;15.227¥;1.528¥;4.175;12.400;2.315
Melilla;62;45,09;32;3;1;0;0
Murcia;1.084;61,38;389;68;42;45;43
Navarra;2.682;336,28;1.181;108;141;278;185
País Vasco;7.317;277,52;4.087;344;412;2.490;479
La Rioja;2.083;509,79;660;57;101;641;123
ESPAÑA;110.238;197,96;54.113;6.092;10.003;26.743;8.102
