Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.830;1;117 1,39;34 0,40;20 0,24;9 0,11
Aragón;5.842;3;131 9,93;47 3,56;32 2,43;7 0,53
Asturias;2.437;0;12 1,17;7 0,68;3 0,29;0 0,00
Baleares;2.157;0;47 4,09;22 1,91;19 1,65;7 0,61
Canarias;2.378;0;30 1,39;8 0,37;3 0,14;1 0,05
Cantabria;2.334;0;22 3,79;11 1,89;12 2,07;2 0,34
Castilla La Mancha;17.811;0;353 17,36;121 5,95;59 2,90;16 0,79
Castilla y León;19.353;0;386 16,09;143 5,96;40 1,67;14 0,58
Cataluña;59.897;17;1.396 18,19;614 8,00;275 3,58;62 0,81
Ceuta;163;0;17 20,05;0 0,00;2 2,36;0 0,00
C. Valenciana;11.418;3;181 3,62;74 1,48;33 0,66;10 0,20
Extremadura;2.988;1;20 1,87;11 1,03;7 0,66;0 0,00
Galicia;9.160;1;23 0,85;12 0,44;8 0,30;3 0,11
Madrid;70.570;12;1.481 22,23;533 8,00;274 4,11;67 1,01
Melilla;124;0;3 3,47;2 2,31;1 1,16;1 1,16
Murcia;1.629;0;26 1,74;8 0,54;4 0,27;1 0,07
Navarra;5.311;0;53 8,10;17 2,60;12 1,83;3 0,46
País Vasco;13.638;1;123 5,57;80 3,62;48 2,17;14 0,63
La Rioja;4.069;1;18 5,68;7 2,21;7 2,21;1 0,32
ESPAÑA;244.109;40;4.439 9,44;1.751 3,72;859 1,83;218 0,46
