Unnamed: 0;Casos que han precisado hospitalización Casos que han ingresado en UCI;Unnamed: 1;Fallecidos;Curados
CCAA;;;;
;Total Nuevos Total;Nuevos;Total Nuevos;Total Nuevos
Andalucía;5.616 51 702;6;1.079 29;3.847 278
Aragón;2.340 36 253;1;681 25;1.680 150
Asturias;1.705 40 130;2;223 12;665 23
Baleares;1.022 17 167;1;168 4;1.047 30
Canarias;855 14 169;5;121 0;969 42
Cantabria;965 9 78;0;173 6;850 132
Castilla La Mancha;8.304 61 546;9;2.188 48;4.577 240
Castilla y León;7.397 133 508;3;1.582 28;5.777 163
Cataluña;23.647 352 2.478;18;4.343 96;15.477 388
Ceuta;9 0 4;0;4 0;76 0
C. Valenciana;4.917 21 650;1;1.124 18;5.388 377
Extremadura;1.375 26 113;1;407 3;1.237 186
Galicia;2.694 20 92;0;375 7;1.676 51
¥Madrid;7.077 0 981;0;7.684 107;33.645 613
Melilla;44 0 3;0;2 0;55 5
Murcia;624 2 104;0;124 1;766 5
Navarra;1.907 13 129;1;409 8;1.445 129
País Vasco;6.260 59 516;3;1.167 43;8.136 485
La Rioja;1.331 13 82;1;303 5;1.937 38
ESPAÑA;;;22.157 440;89.250 3.335
