Unnamed: 0;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
Casos CCAA;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
Totales*;;;;;
;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía 12.673;5;132 1,57;53 0,63;21 0,25;7 0,08
Aragón 5.691;11;227 17,21;96 7,28;45 3,41;14 1,06
Asturias 2.424;2;38 3,72;27 2,64;10 0,98;4 0,39
Baleares 2.141;0;68 5,92;28 2,44;15 1,30;2 0,17
Canarias 2.345;2;59 2,74;30 1,39;10 0,46;3 0,14
Cantabria 2.303;2;40 6,88;20 3,44;9 1,55;3 0,52
Castilla La Mancha 17.234;6;439 21,60;183 9,00;75 3,69;25 1,23
Castilla y León 18.863;17;591 24,63;285 11,88;65 2,71;23 0,96
Cataluña 59.013;10;3.050 39,74;1.231 16,04;334 4,35;77 1,00
Ceuta 145;0;28 33,03;20 23,59;12 14,15;4 4,72
C. Valenciana 11.201;0;230 4,60;86 1,72;27 0,54;7 0,14
Extremadura 2.966;2;27 2,53;13 1,22;11 1,03;6 0,56
Galicia 9.119;0;72 2,67;14 0,52;19 0,70;7 0,26
Madrid 68.830;32;1.623 24,36;657 9,86;280 4,20;87 1,31
Melilla 121;0;0 0,00;0 0,00;0 0,00;0 0,00
Murcia 1.597;0;38 2,54;13 0,87;4 0,27;0 0,00
Navarra 5.254;7;131 20,02;66 10,09;23 3,52;4 0,61
País Vasco 13.508;0;127 5,75;42 1,90;25 1,13;7 0,32
La Rioja 4.051;0;24 7,58;11 3,47;10 3,16;2 0,63
ESPAÑA 239.429;96;6.944 14,77;2.875 6,11;995 2,12;282 0,60
