Unnamed: 0,TOTAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
CCAA,,IA (14 d.),precisado,precisado,Fallecidos,Curados,Nuevos
,confirmados*,,,,,,
,,,hospitalización*,ingreso en UCI,,,
Andalucía,6.392,"65,76",3.147,260,308,182,574
Aragón,2.491,"171,68",1.234,168,169,257,219
Asturias,1.322,"105,59",590,76,63,109,86
Baleares,1.131,"88,65",468,95,46,170,62
Canarias,1.380,"55,68",532,110,62,77,118
Cantabria,1.213,"197,05",543,54,54,43,42
Castilla La Mancha,7.047,"313,45",3.230,353,774,397,623
Castilla y León,6.847,"257,51",2.692,345,585,1.259,636
Cataluña,19.991,"236,15",13.969,1.769,1.849,5.701,1.218
Ceuta,51,"58,98",6,3,1,0,17
C. Valenciana,5.922,"103,84",2.189,365,395,240,414
Extremadura,1.679,"139,08",372,58,152,113,51
Galicia,4.432,"151,55",1.338,158,103,259,393
Madrid,29.840,"363,22",15.227,1.514,3.865,10.827,2.331
Melilla,62,"48,56",32,3,1,0,8
Murcia,1.041,"61,52",304,59,37,43,67
Navarra,2.497,"322,68",1.120,104,130,236,192
País Vasco,6.838,"265,65",3.806,324,369,2.165,518
La Rioja,1.960,"486,43",619,54,90,569,150
ESPAÑA,102.136,"188,02",51.418,5.872,9.053,22.647,7.719
