Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.301 17;772 0;1.404;1
Aragón;2.666 13;272 2;826;2
Asturias;1.110 6;125 0;312;10
Baleares;1.166 2;168 0;209;0
Canarias;948 4;180 1;151;0
Cantabria;1.047 3;79 0;202;0
Castilla La Mancha;9.345 11;656 3;2.945;0
Castilla y León;8.686 30;551 3;1.928;21
Cataluña;29.175 16;2.979 0;5.587;7
Ceuta;14 2;4 0;4;0
C. Valenciana;5.791 4;740 0;1.332;1
Extremadura;1.772 3;110 0;508;5
Galicia;2.932 5;329 0;609;1
Madrid;42.079 38;3.551 4;8.691;1
Melilla;44 0;3 0;2;0
Murcia;682 1;112 0;148;0
Navarra;2.038 2;136 1;490;0
País Vasco;6.963 5;574 0;1.424;1
La Rioja;1.485 0;91 0;362;2
ESPAÑA;124.244 162;11.432 14;27.134;52
