Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.161 15;758 4;1.355 11
Aragón;2.648 11;266 0;838 1
Asturias;2.290 22;152 0;313 3
Baleares;1.134 0;169 0;216 0
Canarias;939 1;178 0;151 0
Cantabria;1.032 1;79 0;206 0
Castilla La Mancha;9.027 26;636 1;2.883 13
Castilla y León;8.649 54;549 1;1.940 10
Cataluña;29.339 0;3.049 0;5.915 33
Ceuta;11 0;4 0;4 0
C. Valenciana;5.435 20;722 1;1.365 7
Extremadura;1.772 0;109 0;497 3
Galicia;2.590 3;295 0;604 1
Madrid;42.157 100;3.577 3;8.826 17
Melilla;44 0;3 0;2 0
Murcia;676 1;112 0;144 1
Navarra;2.045 0;136 0;501 1
País Vasco;7.011 2;578 0;1.455 1
La Rioja;1.490 2;91 0;348 0
ESPAÑA;124.450 258;11.463 10;27.563 102
