Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
CCAA;Con fecha de ingreso en;Con fecha de ingreso en;;Con fecha de defunción
;Total*;Total*;Total**;
;los últimos 7 días;UCI en  los últimos 7 días;;en  los últimos 7 días
Andalucía;6.245 20;770 2;1.404;0
Aragón;2.642 19;267 2;826;1
Asturias;1.099 4;122 0;310;0
Baleares;1.163 6;165 0;209;0
Canarias;946 3;179 0;151;1
Cantabria;1.042 3;79 0;202;0
Castilla La Mancha;9.251 22;647 3;2.945;2
Castilla y León;8.563 27;547 0;1.922;4
Cataluña;29.137 54;2.977 1;5.583;9
Ceuta;12 2;4 0;4;0
C. Valenciana;5.739 10;719 1;1.332;1
Extremadura;1.765 9;110 0;507;3
Galicia;2.917 2;329 1;608;6
Madrid;41.945 88;3.544 3;8.691;6
Melilla;44 0;3 0;2;0
Murcia;674 1;112 0;148;1
Navarra;2.034 0;135 0;490;0
País Vasco;6.956 10;574 0;1.424;0
La Rioja;1.483 3;91 0;360;5
ESPAÑA;123.657 283;11.374 13;27.118;39
