Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.612;1;163 1,94;70 0,83;26 0,31;7 0,08
Aragón;5.600;0;259 19,63;100 7,58;41 3,11;10 0,76
Asturias;2.399;0;26 2,54;6 0,59;6 0,59;1 0,10
Baleares;2.111;0;138 12,01;27 2,35;31 2,70;5 0,43
Canarias;2.323;6;60 2,79;35 1,63;12 0,56;3 0,14
Cantabria;2.283;0;34 5,85;18 3,10;11 1,89;1 0,17
Castilla La Mancha;16.992;2;397 19,53;169 8,31;72 3,54;16 0,79
Castilla y León;18.591;4;568 23,67;262 10,92;67 2,79;23 0,96
Cataluña***;57.569;115;2.601 33,89;1.452 18,92;406 5,29;83 1,08
Ceuta;124;0;10 11,80;5 5,90;4 4,72;2 2,36
C. Valenciana;11.089;8;296 5,92;137 2,74;44 0,88;15 0,30
Extremadura;2.955;2;36 3,37;12 1,12;7 0,66;2 0,19
Galicia;9.108;3;102 3,78;50 1,85;17 0,63;3 0,11
Madrid;68.066;43;1.850 27,76;734 11,02;219 3,29;51 0,77
Melilla;121;0;2 2,31;0 0,00;0 0,00;0 0,00
Murcia;1.587;0;54 3,61;24 1,61;9 0,60;2 0,13
Navarra;5.199;5;128 19,57;46 7,03;22 3,36;10 1,53
País Vasco;13.486;2;230 10,42;64 2,90;37 1,68;6 0,27
La Rioja;4.044;3;36 11,36;11 3,47;11 3,47;3 0,95
ESPAÑA;236.259;194;6.990 14,86;3.222 6,85;1.042 2,22;243 0,52
