Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.305 8;788 0;1.404;0
Aragón;2.675 12;273 1;826;0
Asturias;1.116 2;126 0;314;6
Baleares;1.168 1;169 0;209;0
Canarias;951 3;184 0;151;0
Cantabria;1.050 3;80 1;202;0
Castilla La Mancha;9.375 17;660 4;2.945;4
Castilla y León;8.710 22;622 2;1.928;6
Cataluña;29.224 17;2.977 3;5.587;3
Ceuta;14 0;4 0;4;0
C. Valenciana;5.799 8;739 0;1.332;0
Extremadura;1.772 0;138 0;508;1
Galicia;2.932 2;336 0;609;0
Madrid;42.161 33;3.594 1;8.691;14
Melilla;44 0;3 0;2;0
Murcia;682 1;115 0;148;1
Navarra;2.039 1;136 0;490;0
País Vasco;6.976 7;578 0;1.424;2
La Rioja;1.486 2;91 0;362;3
ESPAÑA;124.479 139;11.613 12;27.136;40
