Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.180 2;761 0;1.358 0
Aragón;2.667 8;267 0;843 5
Asturias;1.088 -;119 -;303 -
Baleares;1.139 3;169 0;219 1
Canarias;942 0;178 0;155 2
Cantabria;1.035 0;79 0;208 1
Castilla La Mancha;9.082 16;638 1;2.900 2
Castilla y León;8.729 12;551 0;1.960 7
Cataluña;29.459 38;2.960 3;5.981 25
Ceuta;11 0;4 0;4 0
C. Valenciana;5.477 8;726 1;1.370 0
Extremadura;1.778 3;110 0;504 4
Galicia;2.935 1;332 0;607 0
Madrid;42.350 67;3.600 6;8.894 31
Melilla;44 0;3 0;2 0
Murcia;679 1;112 0;145 0
Navarra;2.045 0;136 0;503 0
País Vasco;7.021 5;578 0;1.470 4
La Rioja;1.498 2;91 0;352 1
ESPAÑA;124.159 166;11.414 11;27.778 83
