Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
CCAA;Con fecha de ingreso en;Con fecha de ingreso en;;Con fecha de defunción
;Total*;Total*;Total*;
;los últimos 7 días;UCI en  los últimos 7 días;;en  los últimos 7 días
Andalucía;6.131 22;750 3;1.334;1
Aragón;2.632 17;267 1;826;1
Asturias;1.090 3;121 0;288;0
Baleares;1.140 7;165 0;211;7
Canarias;943 5;179 1;150;1
Cantabria;1.032 2;79 0;202;0
Castilla La Mancha;8.964 22;626 2;2.788;2
Castilla y León;8.546 25;547 0;1.913;5
Cataluña;28.831 1;2.953 0;5.575;3
Ceuta;12 1;4 0;4;2
C. Valenciana;5.398 23;718 1;1.331;6
Extremadura;1.758 13;110 0;506;0
Galicia;2.916 6;328 0;607;9
Madrid;41.872 94;3.536 3;8.686;3
Melilla;44 0;3 0;2;0
Murcia;667 0;112 0;139;0
Navarra;2.033 1;135 0;490;0
País Vasco;6.950 9;574 0;1.424;1
La Rioja;1.480 5;91 0;358;9
ESPAÑA;122.439 256;11.298 11;26.834;50
