Unnamed: 0,TOTAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
CCAA,,IA (14 d.),precisado,ingresado en,Fallecidos,Curados,Nuevos
,confirmados*,,,,,,
,,,hospitalización*,UCI,,,
Andalucía,8.767,"74,83",4.335,499,528,900,186
Aragón,3.449,"203,97",1.663,247,312,578,102
Asturias,1.679,"99,43",889,91,96,244,33
Baleares,1.369,"77,51",705,124,84,537,49
Canarias,1.725,"54,24",689,137,89,186,76
Cantabria,1.501,"185,17",677,66,85,129,18
Castilla La Mancha,11.077,"423,64",2.908,360,1.177,1.353,475
Castilla y León,9.581,"296,76",5.180,346,982,2.711,465
Cataluña,28.323,"266,56",19.745,2.391,2.908,10.738,1.499
Ceuta,83,"90,83",9,4,4,2,0
C. Valenciana,7.443,"105,44",1.887,384,672,1.103,109
Extremadura,2.116,"138,61",686,70,258,282,48
Galicia,6.331,"182,11",1.968,162,204,688,180
Madrid,40.469,"421,96",13.950,1.494,5.371,18.410,1.746
Melilla,92,"74,00",40,3,2,11,6
Murcia,1.283,"60,11",500,84,78,193,24
Navarra,3.355,"357,83",1.488,124,202,421,124
País Vasco,9.021,"285,04",4.856,417,586,3.728,211
La Rioja,2.846,"645,21",918,66,160,994,127
ESPAÑA,140.510,"214,43",63.093,7.069,13.798,43.208,5.478
