Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
;;Con fecha de ingreso;;
CCAA;Con fecha de ingreso;;;Con fecha de defunción
;Total*;Total* en UCI en  los últimos;Total**;
;en  los últimos 7 días;;;en  los últimos 7 días
;;7 días;;
Andalucía;6.268 10;772 1;1.404;1
Aragón;2.656 12;270 0;826;2
Asturias;1.108 7;124 0;310;2
Baleares;1.186 1;171 0;209;0
Canarias;950 4;180 1;151;1
Cantabria;1.045 4;79 0;202;0
Castilla La Mancha;9.314 20;651 4;2.945;0
Castilla y León;8.599 38;550 3;1.924;6
Cataluña;29.142 38;2.976 0;5.587;9
Ceuta;14 2;4 0;4;0
C. Valenciana;5.745 4;735 0;1.332;3
Extremadura;1.772 7;110 0;508;5
Galicia;2.930 6;329 0;609;2
Madrid;42.041 73;3.546 1;8.691;0
Melilla;44 0;3 0;2;0
Murcia;677 3;112 0;148;0
Navarra;2.038 3;136 1;490;0
País Vasco;6.961 9;574 0;1.424;1
La Rioja;1.484 2;91 0;361;2
ESPAÑA;123.974 243;11.413 11;27.127;34
