Unnamed: 0;Casos que han precisado hospitalización Casos que han ingresado en UCI;Unnamed: 1;Fallecidos;Curados
CCAA;;;;
;Total Nuevos Total;Nuevos;Total Nuevos;Total Nuevos
Andalucía;5.509 36 692;2;1.017 4;3.411 182
Aragón;2.271 27 250;2;643 6;1.182 4
Asturias;1.626 27 122;0;202 2;616 17
Baleares;986 23 161;0;161 4;1.005 0
Canarias;837 11 164;1;120 1;878 65
Cantabria;948 14 78;0;165 7;646 20
Castilla La Mancha;8.199 26 534;3;2.075 54;4.242 64
Castilla y León;7.174 94 503;2;1.521 28;5.429 63
Cataluña;22.796 421 2.437;28;4.152 143;14.446 512
Ceuta;9 0 4;0;4 0;73
C. Valenciana;4.866 39 648;2;1.089 10;4.719 90
Extremadura;1.327 21 112;0;397 8;921 63
Galicia;2.652 43 101;;360 8;1.588 40
¥Madrid;7.930 0 1.076;;7.460 109;32.277 515
Melilla;44 0 3;0;2 0;46 0
Murcia;614 2 104;1;120 3;702 40
Navarra;1.877 21 128;0;397 12;1.190 67
País Vasco;6.141 32 507;6;1.103 22;7.277 153
La Rioja;1.297 15 81;2;294 9;1.866 33
ESPAÑA;;;21.282 430;82.514 1928
