Unnamed: 0;Unnamed: 1;Casos;Casos diagnosticados en los;Casos diagnosticados en los.1;Casos diagnosticados con fecha de;Casos diagnosticados con fecha de.1
;Casos;;;;;
CCAA;;diagnosticados;últimos 14 días;últimos 7 días;inicio de síntomas en los últimos 14d.;inicio de síntomas en los últimos 7d.
;Totales*;;;;;
;;el día previo;No IA**;No IA**;No IA**;No IA**
Andalucía;12.800;5;150 1,78;55 0,65;31 0,37;4 0,05
Aragón;5.806;14;159 12,05;73 5,53;42 3,18;11 0,83
Asturias;2.431;0;33 3,23;6 0,59;4 0,39;2 0,20
Baleares;2.137;0;51 4,44;16 1,39;13 1,13;3 0,26
Canarias;2.372;0;46 2,14;15 0,70;4 0,19;1 0,05
Cantabria;2.324;0;23 3,96;8 1,38;10 1,72;2 0,34
Castilla La Mancha;17.640;7;436 21,45;170 8,36;67 3,30;19 0,93
Castilla y León;19.222;3;510 21,25;198 8,25;43 1,79;10 0,42
Cataluña;59.298;36;1.633 21,28;690 8,99;311 4,05;76 0,99
Ceuta;163;0;33 38,93;7 8,26;8 9,44;0 0,00
C. Valenciana;11.361;13;196 3,92;93 1,86;35 0,70;6 0,12
Extremadura;2.982;4;23 2,15;9 0,84;8 0,75;1 0,09
Galicia;9.153;3;27 1,00;14 0,52;5 0,19;1 0,04
Madrid;69.895;62;1.454 21,82;628 9,42;235 3,53;67 1,01
Melilla;122;0;1 1,16;0 0,00;0 0,00;0 0,00
Murcia;1.624;2;30 2,01;16 1,07;5 0,33;2 0,13
Navarra;5.299;4;93 14,22;38 5,81;13 1,99;7 1,07
País Vasco;13.588;13;96 4,35;58 2,63;34 1,54;20 0,91
La Rioja;4.063;1;19 6,00;10 3,16;7 2,21;3 0,95
ESPAÑA;242.280;167;5.013 10,66;2.104 4,47;875 1,86;235 0,50
