Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos;Unnamed: 1;Curados
CCAA;;;;;
;Total Nuevos;Total Nuevos;Total Nuevos;Total;Nuevos
Andalucía;5.341 43;677 2;967 27;2.948;158
Aragón**;2.180 29;243 3;601 39;1.121;
Asturias;1.520 46;119 1;187 13;575;30
Baleares;937 32;157 5;148 14;958;20
Canarias;822 11;160 1;115 4;785;55
Cantabria;911 8;78 0;149 5;534;24
Castilla La Mancha;8.093 75;514 3;1.913 61;3.838;238
Castilla y León;6.831 313;495;1.429 28;5.103;179
Cataluña;22.013 771;2.349 44;3.879 127;13.275;488
Ceuta;9 0;4 0;4 0;53;9
C. Valenciana;4.708 103;636 4;1.042 43;4.306;282
Extremadura;1.240 28;112 2;380 8;736;29
Galicia;2.554 19;115¥;334 14;0;0
Madrid;8.597¥;1.094¥;7.132 125;30.475;1039
Melilla;44 0;3 0;2 0;30;0
Murcia;611 26;102 3;115 3;638;93
Navarra;1.829 48;127 3;354 16;954;62
País Vasco;6.030 91;490 6;1.020 28;6.556;412
La Rioja;1.249 23;78 2;272 10;1.777;48
ESPAÑA;;;20.043 565;74.662;3.166
