Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.178 4;761 1;1.358 0
Aragón;2.659 4;267 1;838 0
Asturias;2.328 17;153 0;317 2
Baleares;1.136 0;169 0;218 0
Canarias;942 3;178 0;153 2
Cantabria;1.035 2;79 0;207 0
Castilla La Mancha;9.066 12;637 0;2.898 5
Castilla y León;8.717 27;551 1;1.953 7
Cataluña;29.421 21;2.957 0;5.956 12
Ceuta;11 0;4 0;4 0
C. Valenciana;5.469 15;725 2;1.370 4
Extremadura;1.775 0;110 0;500 0
Galicia;2.934 8;332 0;607 1
Madrid;42.283 56;3.594 10;8.863 16
Melilla;44 0;3 0;2 0
Murcia;678 2;112 0;145 1
Navarra;2.045 0;136 0;503 0
País Vasco;7.016 1;578 0;1.466 7
La Rioja;1.496 0;91 0;351 2
ESPAÑA;125.233 172;11.437 15;27.709 59
