Unnamed: 0;TOTAL;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
CCAA;IA (14 d.);precisado;ingresado en;Fallecidos;Curados;;Nuevos
;confirmados*;;;;;;
;;hospitalización;UCI;;;;
Andalucía;10.192 51,98;5.054;631;836;;2.032;5**
Aragón;4.245 149,55;1.966;280;492;;963.0;58
Asturias;2.051 79,68;1.330;111;156;;458.0;93
Baleares;1.571 43,67;826;145;118;;871.0;21
Canarias;1.958 32,32;771;147;102;;589.0;14
Cantabria;1.796 107,56;853;76;120;;323.0;19
Castilla La Mancha;14.329 388,86;7.830;486;1.714;;2.943;275
;;;¥;;;;
Castilla y León;13.180 290,43;6.175;308;1.299;;4.266;552
Cataluña;35.197 213,99;23.126;2.775;3.666;;15.967;471
Ceuta;96 73,13;9;4;4;;22.0;1
C. Valenciana;9.213 74,04;4.397;581;907;;3.069;153
Extremadura;2.684 98,90;1.114;108;334;;578.0;26
;;;¥;;;;
Galicia;7.597 131,80;2.403;133;290;;1.24;103
;;¥;¥;;;;
Madrid;48.048 308,24;10.753;1.299;6.568;;26.247;902
Melilla;101 54,34;43;3;2;;18.0;0
Murcia;1.487 34,34;566;96;106;;476.0;24
Navarra;4.150 282,02;1.705;124;249;;730.0;58
País Vasco;11.226 222,21;5.679;470;859;;5.193;208
La Rioja;3.420 508,21;1.152;74;234;;1.5190000000000001;62
ESPAÑA;172.541 166,13;;;18.056;;67.50399999999999;3.045
IA (14 d.): Incidencia acumulada (casos acumulados por 100.000 habitantes notificados en los últimos 14 días.;;;;;;;
