Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Unnamed: 1;Fallecidos
CCAA;Con fecha de ingreso en;Con fecha de ingreso en;;Con fecha de defunción
;Total*;Total*;Total**;
;los últimos 7 días;UCI en  los últimos 7 días;;en  los últimos 7 días
Andalucía;6.261 11;770 1;1.404;0
Aragón;2.643 14;267 1;826;2
Asturias;1.097 2;122 0;310;0
Baleares;1.163 1;165 0;209;0
Canarias;946 3;179 0;151;1
Cantabria;1.042 5;79 0;202;0
Castilla La Mancha;9.280 26;649 4;2.945;1
Castilla y León;8.576 30;547 0;1.922;4
Cataluña;29.254 68;2.982 2;5.584;8
Ceuta;12 1;4 0;4;0
C. Valenciana;5.739 10;735 1;1.334;3
Extremadura;1.766 9;110 0;507;3
Galicia;2.918 1;329 1;608;6
Madrid;41.993 89;3.544 2;8.691;5
Melilla;44 0;3 0;2;0
Murcia;680 0;112 0;148;1
Navarra;2.036 2;135 0;490;0
País Vasco;6.957 10;574 0;1.424;0
La Rioja;1.484 4;91 0;360;5
ESPAÑA;123.891 286;11.397 12;27.121;39
