Unnamed: 0,TOTAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
CCAA,,IA (14 d.),precisado,precisado,Fallecidos,Curados,Nuevos
,confirmados*,,,,,,
,,,hospitalización*,ingreso en UCI,,,
Andalucía,4.277,"47,63",2.106,172,175,139,484
Aragón,1.592,"111,50",835,124,58¥,8,254
Asturias,1.004,"89,17",408,50,33,65,104
Baleares,862,"72,56",283,59,26,80,107
Canarias,1.025,"43,42",377,68,36,25,147
Cantabria,937,"155,92",406,37,22,21,127
Castilla La Mancha,4.512,"207,74",2.977,289,448,197,578
Castilla y León,4.791,"190,37",2.063,249,321,585,659
Cataluña,14.263,"179,20",9.900,1.324,1.070,3.106,1.323
Ceuta,17,"20,05",2,2,1,0,0
C. Valenciana,4.034,"78,02",1.694,282,234,92,502
Extremadura,1.394,"124,38",312,40,88,49,163
Galicia,2.772,"98,43",906,112,47,95,450
Madrid,21.520,"278,84",14.211,1.404,2.757,6.326,2.277
Melilla,45,"48,56",22,2,1,0,3
Murcia,802,"50,54",231,58,17,12,88
Navarra,1.829,"257,26",827,84,70,98,188
País Vasco,5.136,"209,03",2.612,176,221,1.023,535
La Rioja,1.436,"365,53",458,43,65,364,200
ESPAÑA,72.248,"141,09",40.630,4.575,5.690,12.285,8.189
