Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.027 15;744 4;1.294 13
Aragón;2.564 12;262 2;800 12
Asturias;2.117 36;143 1;292 5
Baleares;1.132 10;169 1;201 2
Canarias;921 1;176 0;144 1
Cantabria;1.020 2;79 0;200 1
Castilla La Mancha;8.796 31;613 1;2.677 30
Castilla y León;8.300 54;541 3;1.864 17
Cataluña;28.248 163;2.891 20;5.394 49
Ceuta;10 0;4 0;4 0
C. Valenciana;5.252 27;704 3;1.303 12
Extremadura;1.664 14;108 0;467 4
Galicia;2.833 22;320 1;586 4
Madrid;41.159 128;3.485 20;8.504 38
Melilla;44 0;3 0;2 0
Murcia;652 2;111 0;137 1
Navarra;2.015 10;135 0;480 4
País Vasco;6.797 16;561 2;1.383 19
La Rioja;1.463 5;91 0;338 1
ESPAÑA;121.014 548;11.140 58;26.070 213
