Unnamed: 0;Casos que han precisado hospitalización;Casos que han ingresado en UCI;Fallecidos
CCAA;;;
;Total Nuevos;Total Nuevos;Total Nuevos
Andalucía;6.069 31;745 3;1.317 16
Aragón;2.583 5;263 0;823 8
Asturias;2.166 25;145 1;293 1
Baleares;1.141 6;169 1;207 5
Canarias;935 8;178 2;148 0
Cantabria;1.023 1;79 0;201 0
Castilla La Mancha;8.867 39;621 4;2.738 25
Castilla y León;8.394 37;546 3;1.885 9
Cataluña;28.687 79;2.983 34;5.507 36
Ceuta;11 0;4 0;4 0
C. Valenciana;5.317 30;709 3;1.315 6
Extremadura;1.695 17;109 0;477 5
Galicia;2.876 19;323 2;591 3
Madrid;41.436 132;3.508 15;8.598 46
Melilla;44 0;3 0;2 0
Murcia;662 3;113 0;138 1
Navarra;2.021 6;135 0;487 3
País Vasco;6.865 47;568 2;1.403 13
La Rioja;1.473 4;91 0;344 2
ESPAÑA;122.265 489;11.292 70;26.478 179
